ID,Location,Coordinates,Elevation,Tower_h
KRTX,"Portland, OR",454253 / 1225755,1572,30
KPUX,"Pueblo, CO",382734 / 1041053,5249,10
KRAX,"Raleigh/Durham, NC",353956 / 0782923,348,30
KUDX,"Rapid City, SD",440730 / 1024947,3016,30
KRGX,"Reno, NV",394515 / 1192744,8299,20
KRIW,"Riverton, WY",430358 / 1082838,5568,10
KFCX,"Roanoke, VA",370128 / 0801626,2868,20
KJGX,"Robins AFB, GA",324031 / 0832104,521,20
KDAX,"Sacramento, CA",383004 / 1214040,30,30
KLSX,"Saint Louis, MO",384156 / 0904058,608,30
KMTX,"Salt Lake City, UT",411546 / 1122652,6460,30
KSJT,"San Angelo, TX",312217 / 1002933,1890,30
KNKX,"San Diego, CA",325508 / 1170231,955,20
KMUX,"San Francisco, CA",370919 / 1215354,3469,20
KHNX,"San Joaquin Valley, CA",361851 / 1193756,243,20
TJUA,"San Juan, PR",180656 / 0660441,2794,30
KSOX,"Santa Ana Mountains, CA",334904 / 1173809,3027,15
KATX,"Seattle/Tacoma, WA",481140 / 1222945,494,30
KSHV,"Shreveport, LA",322703 / 0935029,273,30
KFSD,"Sioux Falls, SD",433516 / 0964346,1430,10
PACG,"Sitka, AK",565110 / 1353145,209,10
PHKI,"South Kauai, HI",215339 / 1593308,179,30
PHWA,"South Shore, HI",190542 / 1553408,1380,20
KOTX,"Spokane, WA",474049 / 1173736,2384,10
KSGF,"Springfield, MO",371407 / 0932402,1278,20
KCCX,"State College, PA",405523 / 0780013,2405,20
KLWX,"Sterling, VA",385831 / 0772840,272,25
KTLH,"Tallahassee, FL",302351 / 0841944,63,30
KTBW,"Tampa, FL",274220 / 0822406,41,20
KTWX,"Topeka, KS",385949 / 0961357,1367,10
KEMX,"Tucson, AZ",315337 / 1103749,5205,30
KINX,"Tulsa, OK",361030 / 0953353,668,20
KVNX,"Vance AFB, OK",364427 / 0980740,1210,10
KVBX,"Vandenberg AFB, CA",345017 / 1202349,1223,20
KICT,"Wichita, KS",373917 / 0972634,1335,10
KLTX,"Wilmington, NC",335922 / 0782544,64,20
KYUX,"Yuma, AZ",322943 / 1143924,174,10
